% Fichier d'entrainement Weka pour Deft 2013

@RELATION difficulte
@ATTRIBUTE sizeoftitle 	REAL 		%size of title
@ATTRIBUTE sizeofrecipy 	REAL 		%size of title
@ATTRIBUTE lx0bouillante	REAL 		%bouillante
@ATTRIBUTE lx1farce	REAL 		%farce
@ATTRIBUTE lx2cercle	REAL 		%cercle
@ATTRIBUTE lx3travail	REAL 		%travail
@ATTRIBUTE lx4safran	REAL 		%safran
@ATTRIBUTE lx5garni	REAL 		%garni
@ATTRIBUTE lx6minutes	REAL 		%minutes
@ATTRIBUTE lx7laissez	REAL 		%laissez
@ATTRIBUTE lx8blancs	REAL 		%blancs
@ATTRIBUTE lx9citron	REAL 		%citron
@ATTRIBUTE lx10retirez	REAL 		%retirez
@ATTRIBUTE lx11bain	REAL 		%bain
@ATTRIBUTE lx12marmite	REAL 		%marmite
@ATTRIBUTE lx13poche	REAL 		%poche
@ATTRIBUTE lx14épaissir	REAL 		%épaissir
@ATTRIBUTE lx15bouillir	REAL 		%bouillir
@ATTRIBUTE lx16agneau	REAL 		%agneau
@ATTRIBUTE lx17cesser	REAL 		%cesser
@ATTRIBUTE lx18macarons	REAL 		%macarons
@ATTRIBUTE lx19œuf	REAL 		%œuf
@ATTRIBUTE lx20choux	REAL 		%choux
@ATTRIBUTE lx21gélatine	REAL 		%gélatine
@ATTRIBUTE lx0minutes-de-cuisson	REAL 		%minutes de cuisson
@ATTRIBUTE lx1pendant-15-min	REAL 		%pendant 15 min
@ATTRIBUTE lx2de-beurre-et	REAL 		%de beurre et
@ATTRIBUTE lx3sur-un-plat	REAL 		%sur un plat
@ATTRIBUTE lx4de-la-cocotte	REAL 		%de la cocotte
@ATTRIBUTE lx5tout-en-remuant	REAL 		%tout en remuant
@ATTRIBUTE lx6de-cuisson-et	REAL 		%de cuisson et
@ATTRIBUTE lx7de-sucre-en	REAL 		%de sucre en
@ATTRIBUTE lx8cours-de-cuisson	REAL 		%cours de cuisson
@ATTRIBUTE lx9thym-et-le	REAL 		%thym et le
@ATTRIBUTE lx10la-cuisson-du	REAL 		%la cuisson du
@ATTRIBUTE lx11dès-que-la	REAL 		%dès que la
@ATTRIBUTE lx12soupe-de-farine	REAL 		%soupe de farine
@ATTRIBUTE lx13très-facile-à	REAL 		%très facile à
@ATTRIBUTE lx14-faire-dorer	REAL 		% faire dorer
@ATTRIBUTE lx15sur-un-papier	REAL 		%sur un papier
@ATTRIBUTE lx16fond-de-volaille	REAL 		%fond de volaille
@ATTRIBUTE lx17allumer-le-four	REAL 		%allumer le four
@ATTRIBUTE lx18cuillerées-à-soupe	REAL 		%cuillerées à soupe
@ATTRIBUTE lx19cuillerée-à-soupe	REAL 		%cuillerée-à-soupe
@ATTRIBUTE lx20min-dans-de	REAL 		%min-dans-de
@ATTRIBUTE lx21une-pâte-à	REAL 		%une-pâte-à
@ATTRIBUTE lx22la-cuisson-pendant	REAL 		%la-cuisson-pendant
@ATTRIBUTE lx23ne-pas-laisser	REAL 		%ne-pas-laisser
@ATTRIBUTE lx24quelques-minutes-avant	REAL 		%quelques-minutes-avant
@ATTRIBUTE lx25tout-en-mélangeant	REAL 		%tout-en-mélangeant
@ATTRIBUTE lx26le-laisser-refroidir	REAL 		%le-laisser-refroidir
@ATTRIBUTE lx2710-cl-d-eau	REAL 		%10-cl-d-eau
@ATTRIBUTE lx28à-tarte-beurré	REAL 		%à-tarte-beurré
@ATTRIBUTE lx29fouetter-la-crème	REAL 		%fouetter-la-crème
@ATTRIBUTE lx30cuire-30-minutes	REAL 		%cuire-30-minutes
@ATTRIBUTE lx31montés-en-neige	REAL 		%montés-en-neige
@ATTRIBUTE lx32facile-à-faire	REAL 		%facile-à-faire
@ATTRIBUTE lx33dès-que-la	REAL 		%dès-que-la
@ATTRIBUTE lx34préparer-la-veille	REAL 		%préparer-la-veille
@ATTRIBUTE lx35au-four-30	REAL 		%au-four-30
@ATTRIBUTE lx36à-thermostat-6	REAL 		%à-thermostat-6
@ATTRIBUTE lx37couche-de-crème	REAL 		%couche-de-crème
@ATTRIBUTE lx38dans-le-bouillon	REAL 		%dans-le-bouillon
@ATTRIBUTE lx39sur-le-plat	REAL 		%sur-le-plat
@ATTRIBUTE lx4020-g-de	REAL 		%20-g-de
@ATTRIBUTE lx41à-la-place	REAL 		%à-la-place
@ATTRIBUTE lx42pendant-1-h	REAL 		%pendant-1-h
@ATTRIBUTE lx43à-l-eau-bouillante	REAL 		%à-l-eau-bouillante
@ATTRIBUTE lx44la-crème-de	REAL 		%la-crème-de
@ATTRIBUTE lx45noix-de-beurre	REAL 		%noix-de-beurre
@ATTRIBUTE lx46une-casserole-avec	REAL 		%une-casserole-avec
@ATTRIBUTE lx47pendant-10-min	REAL 		%pendant-10-min
@ATTRIBUTE foundingreds	REAL 		%foundingreds
@ATTRIBUTE verb1	REAL 		%verb1
@ATTRIBUTE verb2	REAL 		%verb2
@ATTRIBUTE verb3	REAL 		%verb3
@ATTRIBUTE cost	{bon-marche, moyen, cher}
@ATTRIBUTE class 	{tres-facile, facile, moyennement-difficile, difficile}
@DATA

3,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,bon-marche,facile
1,132,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,moyen,facile
6,164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,bon-marche,facile
4,222,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,bon-marche,tres-facile
5,59,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,bon-marche,tres-facile
4,133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,bon-marche,facile
2,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,moyen,moyennement-difficile
9,101,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,moyen,moyennement-difficile
5,84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,cher,facile
6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,bon-marche,tres-facile
2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,moyen,moyennement-difficile
5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,bon-marche,facile
2,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,moyen,facile
4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,moyen,moyennement-difficile
2,120,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,bon-marche,tres-facile
